abs,names,conc
1.607,neg,neg
1.768,X19343,5
1.892,X19343,5
1.82,X19343,5
1.813,X19343,5
1.834,X19343,5
1.893,neg,neg
1.574,X19343,10
1.703,X19343,10
1.668,X19343,10
1.605,X19343,10
1.419,X19343,10
0.121,pos,pos
1.582,X19343,25
1.729,X19343,25
1.755,X19343,25
1.654,X19343,25
1.601,X19343,25
0.116,pos,pos
1.764,X19344,0.5
1.501,X19344,0.5
1.678,X19344,0.5
1.717,X19344,0.5
1.75,X19344,0.5
0.146,pos,pos
1.572,X19344,5
1.698,X19344,5
1.68,X19344,5
1.642,X19344,5
1.718,X19344,5
0.132,pos,pos
1.618,X19344,10
1.72,X19344,10
1.78,X19344,10
1.689,X19344,10
1.789,X19344,10
0.136,pos,pos
1.617,X19344,25
1.711,X19344,25
1.757,X19344,25
1.678,X19344,25
1.671,X19344,25
1.88,neg,neg
1.554,X19345,0.5
1.714,X19345,0.5
1.767,X19345,0.5
1.625,X19345,0.5
1.732,X19345,0.5
1.983,neg,neg
1.556,X19345,5
1.72,X19345,5
1.626,X19345,5
1.687,X19345,5
1.625,X19345,5
1.838,neg,neg
1.602,X19345,10
1.565,X19345,10
1.442,X19345,10
1.471,X19345,10
1.552,X19345,10
1.982,neg,neg
1.678,X19345,25
1.77,X19345,25
1.799,X19345,25
1.735,X19345,25
1.499,X19345,25
1.982,neg,neg
